name,Total,Used,Available,Date
1,0,0,0,2020/2/9
1,0,0,0,2020/2/9
1,0,0,0,2020/2/9
1,0,0,0,2020/2/9
1,0,0,0,2020/2/9
1,0,0,0,2020/2/9
1,0,0,0,2020/2/9
1,684,638,46,2020/2/8
1,122,131,0,2020/2/8
1,278,257,0,2020/2/8
1,504,510,0,2020/2/8
1,420,434,0,2020/2/8
1,220,233,0,2020/2/8
1,405,464,0,2020/2/8
1,304,304,0,2020/2/8
1,319,292,27,2020/2/8
1,102,149,0,2020/2/8
1,510,515,0,2020/2/8
1,300,320,0,2020/2/8
1,550,561,0,2020/2/8
1,500,500,0,2020/2/8
1,739,739,0,2020/2/8
1,225,211,14,2020/2/8
1,265,295,0,2020/2/8
1,440,435,5,2020/2/8
1,105,105,0,2020/2/8
1,289,289,0,2020/2/8
1,411,401,10,2020/2/8
1,260,216,44,2020/2/8
1,208,208,0,2020/2/8
1,288,222,66,2020/2/8
1,26,18,8,2020/2/8
1,242,230,12,2020/2/8
1,280,276,4,2020/2/8
1,286,286,0,2020/2/8
1,30,30,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,0,0,0,2020/2/8
1,684,685,0,2020/2/7
1,122,131,0,2020/2/7
1,304,337,0,2020/2/7
1,504,522,0,2020/2/7
1,420,439,0,2020/2/7
1,220,223,0,2020/2/7
1,405,467,0,2020/2/7
1,304,305,0,2020/2/7
1,319,325,0,2020/2/7
1,102,143,0,2020/2/7
1,515,515,0,2020/2/7
1,300,328,0,2020/2/7
1,550,560,0,2020/2/7
1,497,497,0,2020/2/7
1,718,718,0,2020/2/7
1,207,207,0,2020/2/7
1,265,284,0,2020/2/7
1,440,454,0,2020/2/7
1,105,105,0,2020/2/7
1,277,277,0,2020/2/7
1,411,411,0,2020/2/7
1,260,224,36,2020/2/7
1,206,201,5,2020/2/7
1,288,225,63,2020/2/7
1,26,19,7,2020/2/7
1,242,233,9,2020/2/7
1,280,277,3,2020/2/7
1,86,86,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,0,0,0,2020/2/7
1,720,691,29,2020/2/6
1,122,122,0,2020/2/6
1,304,350,0,2020/2/6
1,504,516,0,2020/2/6
1,420,420,0,2020/2/6
1,220,220,0,2020/2/6
1,405,557,0,2020/2/6
1,304,304,0,2020/2/6
1,319,342,0,2020/2/6
1,102,145,0,2020/2/6
